latitude,longitude,name,state,zip
42.161,-71.6736,"Willy's Kitty Angels Rescue, Inc.",MA,1534
42.161,-71.6736,"BV Cats, Inc.",MA,1534
42.0679,-71.4791,Ruff Tales Rescue,MA,2019
43.9185,-69.8025,Second Chance Boxer Rescue - New England,ME,4579
42.3049,-71.916,Sweetpea Friends of Rutland Animals,MA,1612
42.8689,-72.3072,Fast Friends Greyhound Adoption Center,NH,3469
42.0063,-70.2082,Carrie A. Seaman Animal Shelter dba CASAS,MA,2657
41.9784,-71.3111,Angelcat Haven,MA,2762
41.9236,-71.0528,"Nemasket Orphaned Animal Haven, Inc.",MA,2768
43.1503,-72.3572,New Hampshire Small Dog Rescue,NH,3602
42.0788,-71.6354,Pawfect Life Rescue,MA,1569
42.0788,-71.6354,Whiskers & Mittens TNR,MA,1569
42.0788,-71.6354,Fine Feline Cat Rescue,MA,1569
42.8084,-72.3372,Draft Gratitude,NH,3470
42.3483,-72.0453,"Bay State Equine Rescue, Inc.",MA,1068
41.8864,-70.7748,Friends of Carver Animals,MA,2330
41.8978,-70.5424,Plymouth Animal Shelter Adoptions,MA,2345
41.9059,-71.1056,Taunton Animal Shelter,MA,2780
43.3696,-72.3441,Sullivan County Humane Society,NH,3743
43.3696,-72.3441,Lost my Way Animal Shelter,NH,3743
42.0028,-71.5153,Furever Dachshund Rescue,RI,2896
41.9304,-71.3049,Friends of Attleboro Animal Shelter,MA,2703
41.9304,-71.3049,"Attleboro Friends of Cats, Inc.",MA,2703
41.9304,-71.3049,Massachusetts Feline Intervention Alliance,MA,2703
41.9939,-71.5169,Woonsocket Cat Sanctuary,RI,2895
43.2385,-72.4242,River Valley Animal Protection League,NH,3603
44.2598,-70.5022,Responsible Pet Care of Oxford Hills,ME,4271
42.0628,-71.7525,Dog Orphans Inc.,MA,1516
42.2252,-72.0368,Second Chance Animal Shelter Inc.,MA,1515
41.8917,-71.3971,Friends of Central Falls Animals,RI,2863
41.8464,-71.2393,Rehoboth Animal Shelter,MA,2769
41.8786,-71.3831,Pawtucket Animal Shelter,RI,2862
41.9765,-71.6622,New England Humane Society,RI,2830
41.9596,-71.6487,Burrillville Animal Control,RI,2858
43.6728,-72.3092,Long Trail Canine Rescue,VT,5088
43.3275,-72.4888,Springfield Humane Society Inc.,VT,5156
42.0599,-71.8741,Community Cat Connection,MA,1570
41.8456,-71.352,Pawswatch Adoptable Cats,RI,2916
41.8369,-71.3246,Seekonk Animal Shelter,MA,2771
41.8609,-71.4352,West Warwick Animal Shelter,RI,2904
43.6536,-72.3568,White River Animal Rescue,VT,5001
41.9558,-71.7162,Humane Association of Northwestern Rhode Island,RI,2859
41.7562,-70.8384,"It's All About the Animals, Inc.",MA,2770
41.8367,-71.396,"Friends of Homeless Animals, Inc.",RI,2906
43.4701,-72.4846,Lucy Mackenzie Humane Society,VT,5037
41.8138,-71.3704,East Providence Animal Control Center,RI,2914
41.8239,-71.4133,Volunteer Services for Animals - Warwick,RI,2940
41.8239,-71.4133,"Almost Home Rescue, Inc.",RI,2940
41.8202,-71.4153,Providence Animal Rescue League,RI,2903
41.9015,-71.6802,"Jenny's Hope Rescue, Inc",RI,2814
41.9015,-71.6802,Little Rhody Rescue,RI,2814
41.9015,-71.6802,The Abandoned Dogs of RI,RI,2814
41.8192,-71.4488,Rhode Home Rescue,RI,2909
41.8302,-71.4949,Scruffy Paws Animal Rescue,RI,2919
42.2125,-72.1917,Central New England Equine Rescue,MA,1092
41.9671,-71.8499,New England All Breed Rescue,CT,6277
41.7111,-70.7561,New England Brittany Rescue Inc.,MA,2738
41.7905,-71.4059,Providence Animal Control,RI,2905
41.7905,-71.4059,Handsome Dan's Rescue for Pit Bull Type Dogs,RI,2905
42.0748,-72.0376,Big Hair Animal Rescue Inc.,MA,1550
41.7408,-71.208,"Project Spay, Inc.",MA,2777
41.7408,-71.208,Town of Swansea Animal Shelter,MA,2777
41.7676,-71.3648,Rhode Island SPCA,RI,2915
41.7676,-71.3648,Cat Adoption Team Services,RI,2915
43.4903,-72.5536,Turtle Hill Farm Animal Sanctuary of VT,VT,5062
44.219,-71.7753,"Second Chance Animal Rescue, Inc",NH,3561
42.1501,-72.1721,"Here Today Adopted Tomorrow Animal Sanctuary, Inc.",MA,1010
41.7778,-71.4376,Tigersden Rescue,RI,2910
41.7151,-71.1418,Faxon Animal Care & Adoption Center,MA,2720
41.691,-70.9066,C.A.R.E. Center for Animal Rescue & Education,MA,2743
44.0901,-72.0235,Northeastern Reptile Welfare League,NH,3774
44.0901,-72.0235,New Digs for Dogs Rescue,NH,3774
41.725,-71.2694,Warren Animal Hospital,RI,2885
44.3084,-69.973,Protectors of Animal Lives Society (PALS),ME,4364
42.5943,-72.5579,Franklin County Sheriffs Office Regional Shelter,MA,1376
41.7499,-71.408,PAWS New England,RI,2888
41.7326,-70.1981,"Scargo Wags and Wiggles Rescue, Inc.",MA,2638
41.7639,-71.5027,Animals Depend On People Too (A.D.O.P.T.),RI,2921
41.6854,-71.1765,Forever Paws Animal Shelter,MA,2724
41.7464,-70.0982,Animal Rescue League of Boston,MA,2631
42.6008,-72.5987,For the Love of a Dog,MA,1301
42.6008,-72.5987,New 2 U Dog Rescue,MA,1301
43.1281,-72.7117,"Gerda's Equine Rescue, Inc.",VT,5359
41.6407,-70.8883,Fairhaven Animal Shelter,MA,2719
41.684,-71.2682,Bristol Animal Shelter,RI,2809
41.6353,-70.9385,Humane Society & Shelter - SouthCoast,MA,2740
41.6353,-70.9385,Lighthouse Animal Shelter,MA,2740
41.9433,-71.9954,Next Stop Forever,CT,6281
41.9433,-71.9954,"P.A.W.S. - Pound Animals are Worth Saving, Inc",CT,6281
41.6581,-70.3587,MSPCA Cape Cod Animal Care and Adoption Center,MA,2632
41.6919,-71.3792,PawsWatch,RI,2887
41.6919,-71.3792,RI Friends of Felines,RI,2887
41.7032,-71.4404,Rhode Island Parrot Rescue,RI,2886
42.3779,-72.5096,Pug Rescue of New England,MA,1002
42.3779,-72.5096,Gemini's Pampered Greyhounds,MA,1002
41.8515,-71.8663,Passion 4 Paws,CT,6241
41.8515,-71.8663,Northeastern Connecticut Council of Governments,CT,6241
44.3106,-69.78,Animal Rescue of Kennebec,ME,4332
44.4161,-71.4742,"NH Sled Dog Rescue, History & Education Center",NH,3583
41.7649,-71.6723,Scituate Animal Shelter,RI,2815
41.6352,-71.1876,Tiverton Animal Control Pound,RI,2878
41.7806,-71.7236,Furry Angels Dachshund Rescue,RI,2825
44.3153,-69.775,Maine Greyhound Placement Service,ME,4330
41.6057,-70.6457,PEOPLE FOR CATS,MA,2574
41.7025,-71.5187,Northwest Animal Protection League,RI,2893
41.7025,-71.5187,Southpaws Express,RI,2893
41.7025,-71.5187,Just Doodles and Friends Rescue,RI,2893
